method,case_id,scan_id,agent_group,agent_number,target_number,evaluation_status,pwgs_pair_count,empty_support_count,valid_hypothesis_snapshot_count,invalid_hypothesis_snapshot_count,episode_pwgs,in_common_support,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,evaluable,29,0,29,0,0.780638924509082,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,evaluable,4,0,4,0,0.8679944696033456,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,evaluable,17,1,15,0,0.7546575469210041,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,evaluable,15,0,9,0,0.9222622812468608,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,evaluable,8,0,5,0,0.5728450258899094,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,evaluable,8,0,6,0,0.6812086108332385,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,evaluable,23,1,13,0,0.6695156759200891,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,evaluable,10,0,11,0,0.6886528062930413,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,evaluable,3,0,4,0,0.8582626720768385,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,evaluable,2,0,2,0,0.7500374846668303,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,evaluable,17,0,14,0,0.6140168847230816,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,evaluable,22,1,12,0,0.6520017977341748,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,evaluable,23,0,24,0,0.3028719158295651,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,evaluable,77,0,29,0,0.7330876958560048,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,evaluable,80,0,29,0,0.4851769616554269,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,evaluable,62,0,17,0,0.6224171547792781,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,evaluable,29,0,29,0,0.6168793565881496,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,evaluable,18,0,19,0,0.4330698698421409,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,evaluable,79,0,29,0,0.4277748495505661,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,evaluable,50,0,29,0,0.4352154385830021,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,evaluable,131,0,29,0,0.49324754273287236,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,evaluable,4,0,5,0,0.31854110925719503,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,evaluable,4,0,5,0,0.24269264411631242,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,evaluable,7,0,5,0,0.6942534712673865,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,evaluable,14,0,9,0,0.36156512939607516,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,evaluable,45,0,11,0,0.5771978165517618,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,evaluable,1,0,2,0,0.6993554507254723,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,evaluable,2,0,3,0,0.7571338902794971,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,evaluable,2,0,3,0,0.5267825341516945,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,evaluable,5,0,4,0,0.6006388075687145,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,evaluable,17,0,8,0,0.6856953304441114,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,evaluable,6,0,7,0,0.6232240767938686,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,evaluable,2,0,3,0,0.26701046752927127,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,evaluable,43,0,25,0,0.58481811918304,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,evaluable,60,0,29,0,0.5102750616023349,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,evaluable,44,0,13,0,0.4840597598592508,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,evaluable,5,0,6,0,0.7445891618125046,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,evaluable,47,0,20,0,0.7679985286268995,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,evaluable,92,0,29,0,0.513931051079226,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,evaluable,83,0,29,0,0.481998781846413,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,evaluable,18,0,19,0,0.38539453131945667,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,evaluable,19,0,20,0,0.7773380427006146,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,evaluable,113,0,29,0,0.7227706650456713,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,evaluable,28,0,12,0,0.6068320260088343,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,evaluable,144,0,29,0,0.5754477051990272,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,evaluable,5,0,6,0,0.5149639371081273,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,evaluable,3,0,4,0,0.8953842376336064,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,evaluable,12,0,7,0,0.7602555460900694,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,evaluable,8,0,5,0,0.6257625475543985,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,evaluable,58,0,19,0,0.5657787594489446,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,evaluable,16,0,6,0,0.6376700824111203,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,evaluable,59,0,29,0,0.6968030219211688,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,evaluable,84,0,29,0,0.6134031788612601,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,evaluable,1,0,2,0,0.9744870645011763,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,evaluable,27,0,28,0,0.887033330875524,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,evaluable,11,0,10,0,0.5841398682645255,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,evaluable,23,0,10,0,0.5934846611914234,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,evaluable,12,0,13,0,0.7977364692201901,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,evaluable,1,0,2,0,0.4738086138662736,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,evaluable,4,0,4,0,0.48960426776683647,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,evaluable,14,0,7,0,0.7713037759678493,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,evaluable,51,0,25,0,0.728815996979023,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,evaluable,19,0,12,0,0.6813135112078061,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,evaluable,7,0,5,0,0.7635004523368567,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,evaluable,23,0,12,0,0.5573104713469044,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,evaluable,3,0,4,0,0.555042125791131,1,not_estimable_no_ungrounded_predictions,0
