method,case_id,scan_id,agent_group,agent_number,target_number,shared_active_target_count,evaluation_status,initial_pwgs
GPT-Medium,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,1,evaluable,0.10623428514602551
Qwen-Thinking,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,1,evaluable,0.10623428514602551
Qwen-Instant,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,1,evaluable,0.10623428514602551
Gemma-Instant,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,1,evaluable,0.10623428514602551
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,4,evaluable,0.3835054934390474
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,4,evaluable,0.38128380452353827
Qwen-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,4,evaluable,0.38128380452353827
Gemma-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,4,evaluable,0.38128380452353827
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,1,evaluable,0.25426576909691534
Qwen-Thinking,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,1,evaluable,0.2621059486866645
Qwen-Instant,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,1,evaluable,0.2343338132284003
Gemma-Instant,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,1,evaluable,0.20259945461571238
GPT-Medium,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,1,evaluable,0.3067932440164026
Qwen-Thinking,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,1,evaluable,0.16954136523294638
Qwen-Instant,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,1,evaluable,0.2304383170875245
Gemma-Instant,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,1,evaluable,0.2304383170875245
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,3,evaluable,0.36385787136546965
Qwen-Thinking,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,3,evaluable,0.2894422328263035
Qwen-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,3,evaluable,0.32916575399305215
Gemma-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,3,evaluable,0.3491316678940895
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,1,evaluable,0.5244992266598996
Qwen-Thinking,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,1,evaluable,0.6993554507254723
Qwen-Instant,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,1,evaluable,0.6193640048330664
Gemma-Instant,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,1,evaluable,0.6064093887038811
GPT-Medium,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,0,not_applicable_no_shared_active_target,
GPT-Medium,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,0,not_applicable_non_identical_active_target_context,
GPT-Medium,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,2,evaluable,0.6862042072661998
Qwen-Thinking,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,2,evaluable,0.540875763862984
Qwen-Instant,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,2,evaluable,0.5468966418192571
Gemma-Instant,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,2,evaluable,0.4470593351056403
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,1,evaluable,0.409562176718549
Qwen-Thinking,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,1,evaluable,0.3349781374023646
Qwen-Instant,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,1,evaluable,0.3947409894185381
Gemma-Instant,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,1,evaluable,0.0
GPT-Medium,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,1,evaluable,0.24195627825844368
Qwen-Thinking,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,1,evaluable,0.24653808712554404
Qwen-Instant,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,1,evaluable,0.2944514680431749
Gemma-Instant,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,1,evaluable,0.0
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,4,evaluable,0.46658379044400067
Qwen-Thinking,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,4,evaluable,0.4643400507170004
Qwen-Instant,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,4,evaluable,0.449849585633427
Gemma-Instant,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,4,evaluable,0.4932171265692472
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,7,evaluable,0.5348397410650673
Qwen-Thinking,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,7,evaluable,0.4762746711663666
Qwen-Instant,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,7,evaluable,0.4776064633798612
Gemma-Instant,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,7,evaluable,0.5228208415928679
GPT-Medium,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,1,evaluable,0.7892619952286108
Qwen-Thinking,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,1,evaluable,0.6679644723877469
Qwen-Instant,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,1,evaluable,0.6622624520832618
Gemma-Instant,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,1,evaluable,0.67822810893582
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,4,evaluable,0.7519939777749738
Qwen-Thinking,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,4,evaluable,0.682607601129088
Qwen-Instant,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,4,evaluable,0.6323207644258665
Gemma-Instant,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,4,evaluable,0.74031773905283
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,4,evaluable,0.3241514058234384
Qwen-Thinking,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,4,evaluable,0.3143073647759502
Qwen-Instant,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,4,evaluable,0.35294523575365866
Gemma-Instant,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,4,evaluable,0.3121749678245596
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,6,evaluable,0.5056068791731493
Qwen-Thinking,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,6,evaluable,0.5296334572148781
Qwen-Instant,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,6,evaluable,0.5830402851222162
Gemma-Instant,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,6,evaluable,0.5187628075020317
GPT-Medium,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,1,evaluable,0.28338733883014466
Qwen-Thinking,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,1,evaluable,0.21305586539727117
Qwen-Instant,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,1,evaluable,0.25250865133249056
Gemma-Instant,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,1,evaluable,0.25250865133249056
GPT-Medium,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,1,evaluable,0.6373812503604521
Qwen-Thinking,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,1,evaluable,0.6373812503604521
Qwen-Instant,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,1,evaluable,0.6373812503604521
Gemma-Instant,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,1,evaluable,0.6373812503604521
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,4,evaluable,0.6649097427491353
Qwen-Thinking,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,4,evaluable,0.6690291712206636
Qwen-Instant,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,4,evaluable,0.6765130728703003
Gemma-Instant,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,4,evaluable,0.6690291712206636
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.47710978157851214
Qwen-Thinking,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.4358784901803331
Qwen-Instant,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.26914900202504843
Gemma-Instant,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.29379224114361435
GPT-Medium,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.9693688332335404
Qwen-Thinking,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.8594080833214945
Qwen-Instant,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.7604873397660608
Gemma-Instant,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,1,evaluable,0.8529679723075616
GPT-Medium,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,3,evaluable,0.6752965711513829
Qwen-Thinking,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,3,evaluable,0.6401825180061053
Qwen-Instant,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,3,evaluable,0.6321360211315402
Gemma-Instant,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,3,evaluable,0.6380137565077248
GPT-Medium,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,7,evaluable,0.6135972490645484
Qwen-Thinking,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,7,evaluable,0.47781389949743563
Qwen-Instant,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,7,evaluable,0.42819054983132354
Gemma-Instant,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,7,evaluable,0.4413745098563048
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,3,evaluable,0.758778268768649
Qwen-Thinking,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,3,evaluable,0.7086232952047572
Qwen-Instant,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,3,evaluable,0.730006946335496
Gemma-Instant,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,3,evaluable,0.7305648404529351
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,4,evaluable,0.43321642187632664
Qwen-Thinking,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,4,evaluable,0.43077792070836174
Qwen-Instant,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,4,evaluable,0.41218216303076144
Gemma-Instant,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,4,evaluable,0.41348242055567386
GPT-Medium,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,1,evaluable,0.9917995805135847
Qwen-Thinking,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,1,evaluable,0.9744870645011763
Qwen-Instant,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,1,evaluable,0.9768064222737967
Gemma-Instant,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,1,evaluable,0.9506455925495522
GPT-Medium,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,1,evaluable,0.7137022194742675
Qwen-Thinking,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,1,evaluable,0.7594334512000074
Qwen-Instant,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,1,evaluable,0.7403501719188146
Gemma-Instant,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,1,evaluable,0.7288151640248124
GPT-Medium,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
GPT-Medium,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,1,evaluable,0.8819022140599719
Qwen-Thinking,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,1,evaluable,0.6446385487815363
Qwen-Instant,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,1,evaluable,0.7137291579775509
Gemma-Instant,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,1,evaluable,0.8303996417299189
GPT-Medium,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,1,evaluable,0.5180378680158543
Qwen-Thinking,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,1,evaluable,0.4738086138662736
Qwen-Instant,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,1,evaluable,0.44197215839171733
Gemma-Instant,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,1,evaluable,0.4918348820118644
GPT-Medium,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,2,evaluable,0.6361810040670994
Qwen-Thinking,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,2,evaluable,0.47182693977243306
Qwen-Instant,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,2,evaluable,0.46324299909485256
Gemma-Instant,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,2,evaluable,0.6181426133647734
GPT-Medium,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,3,evaluable,0.580364181805908
Qwen-Thinking,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,3,evaluable,0.7276068020479697
Qwen-Instant,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,3,evaluable,0.3480812763384713
Gemma-Instant,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,3,evaluable,0.6021627304639602
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
GPT-Medium,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Thinking,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Qwen-Instant,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
Gemma-Instant,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,0,not_applicable_no_shared_active_target,
GPT-Medium,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,3,evaluable,0.5476033010994618
Qwen-Thinking,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,3,evaluable,0.6207646400111368
Qwen-Instant,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,3,evaluable,0.5795912731817411
Gemma-Instant,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,3,evaluable,0.6125506517899711
GPT-Medium,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,0,not_applicable_non_identical_active_target_context,
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Thinking,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Qwen-Instant,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
Gemma-Instant,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,0,not_applicable_non_identical_active_target_context,
GPT-Medium,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,1,evaluable,0.4981216922896784
Qwen-Thinking,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,1,evaluable,0.4698098898752381
Qwen-Instant,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,1,evaluable,0.4566230185012534
