method,case_id,scan_id,agent_group,agent_number,target_number,evaluation_status,pwgs_pair_count,geodesic_ndcg_at_5_pair_count,empty_support_count,valid_hypothesis_snapshot_count,invalid_hypothesis_snapshot_count,episode_pwgs,episode_geodesic_ndcg_at_5,in_common_support,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,evaluable,3,3,0,4,0,0.7245631691055024,0.9997260773300402,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,evaluable,60,60,0,29,0,0.6992763781483086,0.9028005908599129,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,evaluable,14,14,0,6,0,0.5934914424531555,0.9138354410880156,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,evaluable,32,32,0,11,0,0.7678184387656628,0.9383177108507929,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,evaluable,5,5,0,6,0,0.40701853879367833,0.8231983583868203,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,evaluable,3,3,0,4,0,0.9852676452966459,0.9820578201593161,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,evaluable,14,14,0,8,0,0.701091834263307,0.8435068572572659,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,evaluable,8,8,0,6,0,0.6842214963146698,0.9100804175993378,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,evaluable,33,33,0,8,0,0.6239863075941356,0.7979890102009957,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,evaluable,13,13,0,6,0,0.6493708303199064,0.7742636513449642,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,evaluable,36,36,0,29,0,0.7173196876037253,0.9417106983150636,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,evaluable,85,85,0,29,0,0.5474658030398795,0.9589278571674271,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,evaluable,1,1,0,2,0,0.9917995805135847,1.0,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,evaluable,29,29,0,29,0,0.7247972339199088,0.9053476551268586,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,evaluable,13,13,0,9,0,0.7425264527237705,0.9400269938301702,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,evaluable,12,12,0,7,0,0.4720532366783862,0.7773644409554269,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,evaluable,2,2,0,3,0,0.9225981281971039,0.9743611670876038,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,evaluable,1,1,0,2,0,0.5180378680158543,0.8240070259481624,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,evaluable,5,5,0,5,0,0.5006138741084161,0.8227133998954423,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,evaluable,21,21,0,12,0,0.7451130024387604,0.9136229300727808,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,evaluable,33,33,0,12,0,0.7537222387792747,0.8928875675522941,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,evaluable,12,12,0,8,0,0.7124812750564211,0.8731532147151065,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,evaluable,8,8,0,5,0,0.87348666196824,0.8429634003381861,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,evaluable,18,18,0,9,0,0.557138195607251,0.7491215358767427,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,evaluable,3,3,0,4,0,0.4805139870436419,0.5887978831647761,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,evaluable,2,2,0,3,0,0.87903278804038,0.9708391377528471,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,evaluable,1,1,0,2,0,0.8655378140547023,0.9543363879542011,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,evaluable,5,5,0,6,0,0.7756711172721895,0.8489198947214168,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,evaluable,28,28,0,26,0,0.7223753560967597,0.8787878942545636,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,evaluable,12,12,0,8,0,0.6691709919183476,0.8339981180503765,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,evaluable,14,14,0,5,0,0.7245747948936199,0.8802016917148394,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,evaluable,7,7,0,8,0,0.9132084346196766,0.9892578994386795,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,evaluable,32,32,0,18,0,0.6487780962277832,0.8414917466277974,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,evaluable,34,34,0,27,0,0.6919828669285139,0.8290481134644492,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,evaluable,25,25,0,9,0,0.6791594997232698,0.8664120495424283,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,evaluable,1,1,0,2,0,0.8148027357392043,0.9063585577787099,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,evaluable,10,10,0,9,0,0.8341131089008789,0.9129457757603718,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,evaluable,8,8,0,6,0,0.8148079749466487,0.91669612168529,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,evaluable,2,2,0,3,0,0.6154524442617494,0.890246722873314,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,evaluable,10,10,0,6,0,0.7607597890309864,0.8549680470320297,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,evaluable,12,12,0,7,0,0.6538394391723799,0.8069591299447175,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,evaluable,19,19,0,6,0,0.690961548052226,0.8198640098841105,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,evaluable,2,2,0,3,0,0.4360054564629293,1.0,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,evaluable,29,29,0,29,0,0.27020565563911025,0.6681485325950611,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,evaluable,65,65,0,29,0,0.3307293673662867,0.6658436667497731,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,evaluable,38,38,0,29,0,0.3778094665274851,0.8360760665701943,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,evaluable,88,88,0,29,0,0.6887437733575735,0.9141007275598976,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,evaluable,5,5,0,6,0,0.797208725389627,0.9898869033036928,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,evaluable,29,29,0,29,0,0.780638924509082,0.9743771119802161,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,evaluable,4,4,0,4,0,0.8679944696033456,0.9242531305425016,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,evaluable,17,17,1,15,0,0.7546575469210041,0.8670862652724923,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,evaluable,15,15,0,9,0,0.9222622812468608,0.8771963448570789,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,evaluable,8,8,0,5,0,0.5728450258899094,0.6994740786607196,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,evaluable,8,8,0,6,0,0.6812086108332385,0.7144863262473191,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,evaluable,23,23,1,13,0,0.6695156759200891,0.8300314595716219,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,evaluable,10,10,0,11,0,0.6886528062930413,0.8865505209435576,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,evaluable,3,3,0,4,0,0.8582626720768385,0.9546270059181649,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,evaluable,2,2,0,2,0,0.7500374846668303,0.8741216530463671,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,evaluable,17,17,0,14,0,0.6140168847230816,0.8158207550925567,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,evaluable,22,22,1,12,0,0.6520017977341748,0.8511120451784965,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,evaluable,23,23,0,24,0,0.3028719158295651,0.8703405704352549,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,evaluable,77,77,0,29,0,0.7330876958560048,0.8878791535383354,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,evaluable,80,80,0,29,0,0.4851769616554269,0.9230428887630419,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,evaluable,62,62,0,17,0,0.6224171547792781,0.858396179838459,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,evaluable,29,29,0,29,0,0.6168793565881496,0.8650180291708544,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,evaluable,18,18,0,19,0,0.4330698698421409,0.9344539845151605,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,evaluable,79,79,0,29,0,0.4277748495505661,0.802028939087084,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,evaluable,50,50,0,29,0,0.4352154385830021,0.6454020515108442,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,evaluable,131,131,0,29,0,0.49324754273287236,0.8088617208821455,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,evaluable,4,4,0,5,0,0.31854110925719503,0.7000330068163139,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,evaluable,4,4,0,5,0,0.24269264411631242,0.683171727736584,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,evaluable,7,7,0,5,0,0.6942534712673865,0.7583031792667104,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,evaluable,14,14,0,9,0,0.36156512939607516,0.6216142612864974,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,evaluable,45,45,0,11,0,0.5771978165517618,0.7992142059090657,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,evaluable,1,1,0,2,0,0.6993554507254723,0.811235382732993,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,evaluable,2,2,0,3,0,0.7571338902794971,0.8845285274630552,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,evaluable,2,2,0,3,0,0.5267825341516945,0.670667495999373,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,evaluable,5,5,0,4,0,0.6006388075687145,0.7709935326663616,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,evaluable,17,17,0,8,0,0.6856953304441114,0.7478784789503505,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,evaluable,6,6,0,7,0,0.6232240767938686,0.9719143244461034,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,evaluable,2,2,0,3,0,0.26701046752927127,0.9338516857273367,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,evaluable,43,43,0,25,0,0.58481811918304,0.9459620465775596,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,evaluable,60,60,0,29,0,0.5102750616023349,0.8428506839170974,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,evaluable,44,44,0,13,0,0.4840597598592508,0.8095590890676938,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,evaluable,5,5,0,6,0,0.7445891618125046,0.964625550657888,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,evaluable,47,47,0,20,0,0.7679985286268995,0.8465693780278709,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,evaluable,92,92,0,29,0,0.513931051079226,0.9057017027017246,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,evaluable,83,83,0,29,0,0.481998781846413,0.8396134220771501,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,evaluable,18,18,0,19,0,0.38539453131945667,0.8737507944074597,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,evaluable,19,19,0,20,0,0.7773380427006146,0.9375057325234493,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,evaluable,113,113,0,29,0,0.7227706650456713,0.9018136358189411,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,evaluable,28,28,0,12,0,0.6068320260088343,0.9021713292292509,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,evaluable,144,144,0,29,0,0.5754477051990272,0.7870023732893189,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,evaluable,5,5,0,6,0,0.5149639371081273,0.776651892705674,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,evaluable,3,3,0,4,0,0.8953842376336064,0.9755169354336782,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,evaluable,12,12,0,7,0,0.7602555460900694,0.8438155287372195,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,evaluable,8,8,0,5,0,0.6257625475543985,0.8967205245492548,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,evaluable,58,58,0,19,0,0.5657787594489446,0.7294774379264986,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,evaluable,16,16,0,6,0,0.6376700824111203,0.7725116801267443,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,evaluable,59,59,0,29,0,0.6968030219211688,0.9083058291655564,1,not_estimable_no_ungrounded_predictions,0
