method,case_id,scan_id,agent_group,target_id,score_status,eligible_viewpoint_count,probability_sum,initial_pwgs
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,6,scored,4,1.0,0.8554154020133047
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,6,scored,4,1.0,0.9289907177627454
GPT-Medium,r47D5H71a5s_case_0011,r47D5H71a5s,single,3,scored,2,1.0,0.5435084361694397
Qwen-Thinking,r47D5H71a5s_case_0011,r47D5H71a5s,single,3,scored,2,1.0,0.5162845084588795
Qwen-Instant,r47D5H71a5s_case_0011,r47D5H71a5s,single,3,scored,2,1.0,0.4799034414274945
Gemma-Instant,r47D5H71a5s_case_0011,r47D5H71a5s,single,3,scored,2,0.9999999999999999,0.546602064318367
GPT-Medium,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,scored,1,1.0,0.10623428514602551
Qwen-Thinking,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,scored,1,1.0,0.10623428514602551
Qwen-Instant,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,scored,1,1.0,0.10623428514602551
Gemma-Instant,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,scored,1,1.0,0.10623428514602551
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,0,scored,5,1.0,0.5236238046833668
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,0,scored,5,1.0,0.5413891936607536
Qwen-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,0,scored,5,1.0,0.5413891936607536
Gemma-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,0,scored,5,1.0,0.5413891936607536
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,5,scored,5,1.0,0.23391542912591123
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,5,scored,5,1.0,0.20825320199532116
Qwen-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,5,scored,5,1.0,0.20825320199532116
Gemma-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,5,scored,5,1.0,0.20825320199532116
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,6,scored,5,1.0,0.2199339309706959
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,6,scored,5,0.9999999999999999,0.2480872777465032
Qwen-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,6,scored,5,1.0,0.24808727774650308
Gemma-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,6,scored,5,1.0,0.24808727774650308
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,7,scored,5,0.9999999999999999,0.5565488089762156
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,7,scored,5,1.0,0.5274055446915752
Qwen-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,7,scored,5,1.0,0.5274055446915752
Gemma-Instant,r47D5H71a5s_case_0013,r47D5H71a5s,single,7,scored,5,1.0,0.5274055446915752
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,3,scored,5,0.9999999999999999,0.6866348058437088
Qwen-Thinking,r47D5H71a5s_case_0014,r47D5H71a5s,single,3,scored,5,1.0,0.6985438878193996
Qwen-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,3,scored,5,1.0,0.6603502408272383
Gemma-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,3,scored,5,1.0000000000000002,0.7336483416337922
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,4,scored,5,1.0000000000000002,0.8843417672086955
Qwen-Thinking,r47D5H71a5s_case_0014,r47D5H71a5s,single,4,scored,5,1.0,0.7315649134815507
Qwen-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,4,scored,5,1.0,0.8218522131911512
Gemma-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,4,scored,5,1.0,0.8218522131911512
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,5,scored,5,1.0,0.3528761913294811
Qwen-Thinking,r47D5H71a5s_case_0014,r47D5H71a5s,single,5,scored,5,1.0,0.41074676101892205
Qwen-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,5,scored,5,1.0,0.3964008236059392
Gemma-Instant,r47D5H71a5s_case_0014,r47D5H71a5s,single,5,scored,5,1.0,0.41074676101892205
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,0,scored,4,1.0,0.2633497157761976
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,0,scored,4,1.0000000000000002,0.29596380314458703
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,0,scored,4,1.0,0.33192695869408084
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,0,scored,4,1.0,0.33803983243446156
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,scored,4,1.0,0.5216210832549526
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,scored,4,1.0000000000000002,0.4344606741047047
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,scored,4,1.0,0.5233358009649134
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,scored,4,1.0,0.5241613200742499
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,2,scored,4,1.0,0.48302650681436354
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,2,scored,4,1.0000000000000002,0.46025554148207226
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,2,scored,4,1.0,0.5618072327962331
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,2,scored,4,1.0,0.4238582714809872
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,3,scored,4,1.0,0.27189320740860556
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,3,scored,4,1.0000000000000002,0.2588539204615633
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,3,scored,4,1.0,0.32750368572307664
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,3,scored,4,1.0,0.29663704104554767
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,4,scored,4,0.9999999999999999,0.5788775456182319
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,4,scored,4,1.0,0.4452131855653495
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,4,scored,4,1.0,0.5647444949116462
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,4,scored,4,1.0,0.5249458761408173
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,5,scored,4,1.0,0.7202277054198144
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,5,scored,4,1.0000000000000002,0.6725623034650408
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,5,scored,4,1.0,0.7552217015702615
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,5,scored,4,1.0,0.7242603842982084
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,6,scored,4,1.0,0.9762943419000113
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,6,scored,4,1.0,0.973343502631643
Qwen-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,6,scored,4,1.0,0.9144539219092028
Gemma-Instant,r47D5H71a5s_case_0015,r47D5H71a5s,single,6,scored,4,1.0,0.9103358511006502
GPT-Medium,r47D5H71a5s_case_0016,r47D5H71a5s,multi,4,scored,9,0.9999999999999999,0.25426576909691534
Qwen-Thinking,r47D5H71a5s_case_0016,r47D5H71a5s,multi,4,scored,9,0.9999999999999996,0.2621059486866645
Qwen-Instant,r47D5H71a5s_case_0016,r47D5H71a5s,multi,4,scored,9,0.9999999999999999,0.2343338132284003
Gemma-Instant,r47D5H71a5s_case_0016,r47D5H71a5s,multi,4,scored,9,0.9999999999999999,0.20259945461571238
GPT-Medium,r47D5H71a5s_case_0017,r47D5H71a5s,multi,6,scored,6,0.9999999999999999,0.3067932440164026
Qwen-Thinking,r47D5H71a5s_case_0017,r47D5H71a5s,multi,6,scored,6,0.9999999999999998,0.16954136523294638
Qwen-Instant,r47D5H71a5s_case_0017,r47D5H71a5s,multi,6,scored,6,1.0000000000000002,0.2304383170875245
Gemma-Instant,r47D5H71a5s_case_0017,r47D5H71a5s,multi,6,scored,6,1.0000000000000002,0.2304383170875245
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,0,scored,11,1.0,0.9165745002139547
Qwen-Thinking,r47D5H71a5s_case_0018,r47D5H71a5s,multi,0,scored,11,1.0,0.6847053757808923
Qwen-Instant,r47D5H71a5s_case_0018,r47D5H71a5s,multi,0,scored,11,0.9999999999999996,0.7160984284244072
Gemma-Instant,r47D5H71a5s_case_0018,r47D5H71a5s,multi,0,scored,11,0.9999999999999993,0.7681521459390496
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,2,scored,11,1.0000000000000002,0.44881625084033583
Qwen-Thinking,r47D5H71a5s_case_0018,r47D5H71a5s,multi,2,scored,11,0.9999999999999998,0.7185693772892023
Qwen-Instant,r47D5H71a5s_case_0018,r47D5H71a5s,multi,2,scored,11,0.9999999999999998,0.7225521664555916
Gemma-Instant,r47D5H71a5s_case_0018,r47D5H71a5s,multi,2,scored,11,1.0,0.6459206685225694
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,1,scored,9,0.9999999999999998,0.27761102401207693
Qwen-Thinking,r47D5H71a5s_case_0019,r47D5H71a5s,multi,1,scored,9,1.0000000000000002,0.2980711644041122
Qwen-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,1,scored,9,0.9999999999999999,0.28795772118363794
Gemma-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,1,scored,9,0.9999999999999998,0.18996214670240352
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,scored,9,1.0,0.5921741866213461
Qwen-Thinking,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,scored,9,0.9999999999999998,0.3886967712460553
Qwen-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,scored,9,1.0000000000000002,0.5113471971470833
Gemma-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,scored,9,1.0,0.577102294960983
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,5,scored,9,1.0,0.2217884034629859
Qwen-Thinking,r47D5H71a5s_case_0019,r47D5H71a5s,multi,5,scored,9,1.0,0.18155876282874306
Qwen-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,5,scored,9,1.0000000000000002,0.18819234364843518
Gemma-Instant,r47D5H71a5s_case_0019,r47D5H71a5s,multi,5,scored,9,1.0000000000000002,0.28033056201888207
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,0,scored,6,1.0,0.41843007537258414
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,0,scored,6,1.0,0.4346844563002945
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,0,scored,6,1.0000000000000002,0.3492390490027725
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,0,scored,6,1.0,0.27790087578615763
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,1,scored,6,1.0,0.3697445013735393
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,1,scored,6,1.0000000000000002,0.30848042860500613
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,1,scored,6,1.0000000000000002,0.30848042860500613
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,1,scored,6,1.0000000000000002,0.30848042860500613
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,2,scored,6,1.0,0.6740691779853863
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,2,scored,6,1.0000000000000002,0.5718171216710992
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,2,scored,6,1.0000000000000002,0.5718171216710992
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,2,scored,6,1.0000000000000002,0.5718171216710992
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,scored,6,0.9999999999999997,0.8181316206837024
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,scored,6,1.0000000000000002,0.6739269468441297
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,scored,6,1.0,0.6783640629556319
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,scored,6,1.0,0.5230302934160755
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,5,scored,6,1.0,0.28265894910322076
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,5,scored,6,1.0000000000000002,0.2806420917277911
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,5,scored,6,1.0,0.25471397974436705
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,5,scored,6,1.0000000000000002,0.2806420917277911
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,6,scored,6,1.0,0.506625448148543
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,6,scored,6,1.0000000000000002,0.3791387958062227
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,6,scored,6,1.0000000000000002,0.3791387958062227
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,6,scored,6,1.0000000000000002,0.3791387958062227
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,7,scored,6,0.9999999999999999,0.8542476086680802
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,7,scored,6,1.0000000000000002,0.5241755807115362
Qwen-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,7,scored,6,1.0,0.7145053484269217
Gemma-Instant,r47D5H71a5s_case_0020,r47D5H71a5s,multi,7,scored,6,1.0000000000000002,0.5241755807115362
GPT-Medium,r47D5H71a5s_case_0036,r47D5H71a5s,multi,3,scored,16,0.9999999999999999,0.5244992266598996
Qwen-Thinking,r47D5H71a5s_case_0036,r47D5H71a5s,multi,3,scored,16,1.0000000000000004,0.6993554507254723
Qwen-Instant,r47D5H71a5s_case_0036,r47D5H71a5s,multi,3,scored,16,0.9999999999999998,0.6193640048330664
Gemma-Instant,r47D5H71a5s_case_0036,r47D5H71a5s,multi,3,scored,16,0.9999999999999999,0.6064093887038811
GPT-Medium,r47D5H71a5s_case_0043,r47D5H71a5s,multi,6,scored,13,0.9999999999999999,0.5062589476646834
Qwen-Thinking,r47D5H71a5s_case_0043,r47D5H71a5s,multi,6,scored,13,0.9999999999999998,0.5124649842205875
Qwen-Instant,r47D5H71a5s_case_0043,r47D5H71a5s,multi,6,scored,13,0.9999999999999999,0.5049014534969445
Gemma-Instant,r47D5H71a5s_case_0043,r47D5H71a5s,multi,6,scored,13,1.0000000000000002,0.33145510605158623
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,1,scored,12,0.9999999999999999,0.7418015030309957
Qwen-Thinking,r47D5H71a5s_case_0044,r47D5H71a5s,multi,1,scored,12,1.0000000000000002,0.5104278613908974
Qwen-Instant,r47D5H71a5s_case_0044,r47D5H71a5s,multi,1,scored,12,0.9999999999999998,0.6083422891127179
Gemma-Instant,r47D5H71a5s_case_0044,r47D5H71a5s,multi,1,scored,12,1.0000000000000002,0.5104278613908974
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,scored,12,1.0000000000000002,0.6306069115014039
Qwen-Thinking,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,scored,12,1.0000000000000002,0.5713236663350707
Qwen-Instant,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,scored,12,0.9999999999999993,0.4854509945257962
Gemma-Instant,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,scored,12,1.0000000000000002,0.3836908088203832
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,0,scored,15,1.0000000000000002,0.5424105716282865
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,0,scored,15,1.0,0.43153068847705944
Qwen-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,0,scored,15,1.0000000000000002,0.5680169229000795
Gemma-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,0,scored,15,0.9999999999999998,0.49451003276581484
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,1,scored,15,1.0000000000000002,0.6796533863144616
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,1,scored,15,0.9999999999999999,0.7116824750073694
Qwen-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,1,scored,15,0.9999999999999993,0.7269913162567192
Gemma-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,1,scored,15,0.9999999999999993,0.7109082776231762
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,2,scored,15,0.9999999999999999,0.8521374513158054
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,2,scored,15,1.0,0.6396952298734004
Qwen-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,2,scored,15,1.0000000000000002,0.6537942308213904
Gemma-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,2,scored,15,0.9999999999999998,0.723762585923065
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,3,scored,15,1.0,0.5327485667188644
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,3,scored,15,1.0000000000000002,0.847978926144452
Qwen-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,3,scored,15,1.0,0.6899799496657708
Gemma-Instant,r47D5H71a5s_case_0045,r47D5H71a5s,multi,3,scored,15,1.0000000000000002,0.6116487966885004
GPT-Medium,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,2,scored,2,1.0,0.409562176718549
Qwen-Thinking,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,2,scored,2,1.0,0.3349781374023646
Qwen-Instant,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,2,scored,2,0.9999999999999999,0.3947409894185381
Gemma-Instant,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,2,zero_no_model_generated_location_distribution,0,0,0.0
GPT-Medium,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,3,scored,4,1.0,0.24195627825844368
Qwen-Thinking,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,3,scored,4,1.0,0.24653808712554404
Qwen-Instant,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,3,scored,4,1.0,0.2944514680431749
Gemma-Instant,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,3,zero_no_model_generated_location_distribution,0,0,0.0
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,scored,2,1.0,0.761229036599574
Qwen-Thinking,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,scored,2,1.0,0.7539637000147896
Qwen-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,scored,2,1.0,0.7539637000147896
Gemma-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,scored,2,1.0,0.7539637000147896
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,4,scored,2,1.0,0.26613812143935367
Qwen-Thinking,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,4,scored,2,1.0,0.25566393715611846
Qwen-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,4,scored,2,1.0,0.25566393715611846
Gemma-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,4,scored,2,1.0,0.25566393715611846
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,7,scored,2,0.9999999999999999,0.7216629755017888
Qwen-Thinking,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,7,scored,2,1.0,0.7157004451209943
Qwen-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,7,scored,2,1.0,0.7157004451209943
Gemma-Instant,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,7,scored,2,1.0,0.7175976138785198
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,0,scored,3,0.9999999999999998,0.3364525241508982
Qwen-Thinking,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,0,scored,3,1.0,0.37758870643816733
Qwen-Instant,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,0,scored,3,1.0000000000000002,0.45347343502483817
Gemma-Instant,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,0,scored,3,1.0,0.4209564312941364
